#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
40.781	490	40.806	487
40.832	492	40.858	488
40.882	491	40.908	488
40.933	489	40.959	488
40.984	484	41.009	487
41.035	478	41.060	487
41.085	470	41.111	488
41.136	462	41.162	487
41.186	452	41.212	488
41.238	443	41.263	487
41.288	434	41.313	488
41.339	427	41.365	487
41.389	420	41.415	488
41.440	415	41.466	488
41.491	412	41.516	487
41.542	411	41.567	487
41.592	412	41.617	488
41.643	414	41.669	487
41.693	418	41.719	487
41.744	425	41.770	488
41.795	433	41.820	487
41.846	441	41.871	488
41.896	450	41.922	487
41.947	459	41.973	488
41.997	467	42.023	487
42.049	474	42.074	487
42.099	481	42.124	487
42.150	486	42.176	487
42.200	489	42.226	488
42.251	490	42.277	487
42.302	489	42.327	488
42.353	487	42.378	487
42.403	482	42.428	488
42.454	475	42.480	487
42.504	469	42.530	488
42.555	460	42.581	487
42.606	452	42.631	488
42.657	442	42.682	488
42.707	435	42.733	488
42.758	427	42.784	488
42.808	421	42.834	487
42.860	416	42.885	487
42.910	414	42.935	487
42.961	412	42.987	487
43.011	414	43.037	487
43.062	416	43.088	487
43.113	421	43.138	487
43.164	427	43.189	488
43.214	433	43.239	488
43.265	442	43.291	488
43.315	450	43.341	488
43.366	459	43.392	487
43.417	466	43.442	487
43.468	474	43.493	487
43.518	480	43.544	488
43.569	484	43.595	487
43.619	487	43.645	488
43.671	488	43.696	488
43.721	487	43.746	488
43.772	484	43.798	488
43.822	480	43.848	488
43.873	474	43.899	487
43.924	467	43.949	488
43.975	459	44.000	488
44.025	451	44.051	487
44.076	442	44.102	488
44.126	435	44.152	488
44.177	428	44.203	488
44.228	422	44.253	488
44.279	418	44.304	488
44.330	415	44.355	487
44.380	415	44.406	488
44.431	416	44.456	487
44.482	418	44.507	488
44.533	423	44.557	487
44.583	429	44.609	488
44.634	435	44.659	488
44.684	443	44.710	487
44.736	451	44.760	487
44.786	459	44.811	487
44.837	466	44.862	487
44.887	473	44.913	488
44.938	479	44.963	487
44.988	483	45.014	487
45.040	485	45.064	488
45.090	486	45.115	487
45.141	484	45.166	488
45.191	482	45.217	487
45.242	478	45.267	487
45.293	472	45.318	487
45.344	465	45.368	488
45.394	458	45.420	487
45.445	450	45.470	488
45.495	442	45.521	488
45.547	435	45.571	488
45.597	429	45.622	488
45.648	423	45.673	487
45.698	420	45.724	488
45.749	417	45.774	488
45.799	416	45.825	488
45.851	417	45.875	487
45.901	421	45.926	487
45.952	425	45.977	487
46.002	430	46.028	487
46.053	437	46.078	487
46.104	444	46.129	487
46.155	451	46.179	488
46.205	459	46.231	488
46.256	466	46.281	488
46.306	473	46.332	488
46.358	478	46.382	488
46.408	481	46.433	487
46.459	483	46.484	488
46.509	484	46.535	487
46.560	483	46.585	488
46.611	480	46.636	488
46.662	476	46.686	487
46.712	470	46.737	488
46.763	464	46.788	488
46.813	457	46.839	488
46.864	450	46.889	487
46.915	442	46.940	488
46.966	435	46.990	487
47.016	429	47.042	488
47.067	425	47.092	487
47.117	421	47.143	488
47.169	419	47.193	487
47.219	418	47.244	488
47.270	419	47.295	487
47.320	422	47.346	488
47.371	426	47.397	487
47.422	432	47.447	488
47.473	438	47.498	488
47.523	445	47.548	488
47.574	452	47.600	488
47.624	459	47.650	488
47.675	467	47.701	487
47.726	471	47.751	487
47.777	477	47.802	488
47.827	480	47.853	487
47.878	482	47.904	488
47.928	482	47.954	487
47.980	481	48.005	487
48.030	479	48.055	487
48.081	474	48.107	487
48.131	468	48.157	488
48.182	463	48.208	488
48.233	456	48.258	488
48.284	449	48.309	488
48.334	442	48.359	488
48.385	436	48.411	487
48.435	430	48.461	487
48.486	425	48.512	487
48.537	423	48.562	488
48.588	420	48.613	487
48.638	420	48.664	487
48.689	422	48.715	488
48.739	424	48.765	487
48.791	428	48.816	487
48.841	434	48.866	487
48.892	439	48.918	488
48.942	446	48.968	487
48.993	453	49.019	487
49.044	459	49.069	488
49.095	466	49.120	487
49.145	471	49.171	488
49.196	475	49.222	488
49.246	479	49.272	487
49.297	480	49.323	487
49.348	480	49.373	487
49.399	479	49.424	487
49.449	476	49.475	488
49.500	473	49.526	487
49.550	467	49.576	488
49.602	462	49.627	488
49.652	455	49.677	488
49.703	449	49.729	487
49.753	442	49.779	488
49.804	436	49.830	487
49.855	431	49.880	488
49.906	426	49.931	487
49.956	424	49.982	488
50.007	423	50.033	488
50.057	422	50.083	487
50.108	423	50.134	487
50.159	426	50.184	487
50.210	430	50.235	488
50.260	435	50.286	487
50.311	441	50.337	488
50.361	447	50.387	487
50.413	453	50.438	488
50.463	460	50.488	488
50.514	465	50.540	488
50.564	470	50.590	487
50.615	474	50.641	488
50.666	477	50.691	487
50.717	479	50.742	487
50.767	479	50.793	487
50.818	477	50.844	487
50.868	475	50.894	488
50.919	471	50.945	487
50.970	465	50.995	487
51.021	460	51.046	487
51.071	454	51.097	488
51.122	448	51.148	487
51.172	442	51.198	488
51.224	436	51.249	487
51.274	432	51.299	487
51.325	428	51.351	487
51.375	425	51.401	488
51.426	424	51.452	487
51.477	424	51.502	488
51.528	425	51.553	488
51.578	428	51.604	488
51.629	431	51.655	487
51.679	437	51.705	487
51.731	442	51.756	488
51.781	448	51.806	487
51.832	454	51.857	488
51.882	460	51.908	488
51.933	465	51.959	487
51.983	470	52.009	487
52.035	473	52.060	488
52.085	476	52.110	488
52.136	477	52.162	488
52.186	477	52.212	488
52.237	475	52.263	487
52.288	472	52.313	487
52.339	469	52.364	488
52.389	464	52.415	488
52.440	460	52.466	487
52.490	454	52.516	488
52.542	447	52.567	488
52.592	442	52.617	487
52.643	437	52.668	487
52.693	433	52.719	488
52.744	429	52.770	487
52.794	427	52.820	488
52.846	425	52.871	488
52.896	426	52.921	488
52.947	427	52.973	488
52.997	430	53.023	488
53.048	433	53.074	488
53.099	438	53.124	487
53.150	443	53.175	488
53.200	448	53.226	488
53.251	454	53.277	488
53.301	459	53.327	487
53.353	464	53.378	487
53.403	468	53.428	488
53.454	472	53.479	487
53.504	474	53.530	488
53.555	475	53.581	487
53.605	475	53.631	488
53.657	474	53.682	487
53.707	471	53.732	488
53.758	468	53.784	487
53.808	463	53.834	488
53.859	458	53.885	487
53.910	453	53.935	487
53.961	447	53.986	488
54.011	442	54.037	487
54.062	437	54.088	488
54.112	433	54.138	487
54.164	430	54.189	488
54.214	428	54.239	487
54.265	427	54.291	488
54.315	428	54.341	487
54.366	429	54.392	488
54.416	431	54.442	487
54.468	435	54.493	488
