#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
49.501	513	49.526	406
49.551	528	49.576	421
49.602	540	49.628	438
49.652	549	49.678	457
49.703	554	49.729	476
49.754	555	49.779	495
49.805	554	49.830	514
49.855	547	49.881	531
49.906	539	49.932	544
49.956	527	49.982	554
50.007	513	50.033	559
50.058	497	50.083	561
50.109	481	50.134	557
50.159	465	50.185	549
50.210	451	50.236	536
50.260	438	50.286	522
50.312	428	50.337	503
50.362	420	50.387	484
50.413	415	50.439	464
50.463	415	50.489	444
50.514	418	50.540	425
50.565	424	50.590	409
50.616	433	50.641	396
50.666	445	50.692	388
50.717	458	50.743	383
50.767	473	50.793	384
50.818	487	50.844	389
50.869	502	50.894	398
50.920	515	50.945	411
50.970	527	50.996	427
51.021	536	51.047	446
51.071	542	51.097	467
51.123	545	51.148	487
51.173	545	51.198	507
51.224	542	51.250	525
51.274	535	51.300	541
51.325	526	51.351	552
51.376	515	51.401	560
51.427	502	51.452	563
51.477	489	51.503	562
51.528	475	51.554	555
51.578	462	51.604	546
51.630	450	51.655	531
51.680	440	51.705	514
51.731	433	51.756	494
51.781	428	51.807	474
51.832	426	51.858	453
51.882	427	51.908	433
51.934	430	51.959	415
51.984	436	52.009	400
52.035	446	52.061	389
52.085	456	52.111	382
52.136	467	52.162	381
52.187	480	52.212	383
52.238	492	52.263	391
52.288	504	52.314	402
52.339	514	52.365	418
52.389	523	52.415	436
52.441	529	52.466	457
52.491	534	52.516	477
52.542	535	52.567	499
52.592	533	52.618	518
52.643	529	52.669	535
52.693	522	52.719	549
52.745	515	52.770	559
52.795	505	52.820	564
52.846	494	52.872	565
52.896	483	52.922	561
52.947	472	52.973	552
52.998	462	53.023	539
53.049	453	53.074	523
53.099	446	53.125	504
53.150	440	53.176	483
53.200	437	53.226	462
53.252	436	53.277	442
53.302	438	53.327	422
53.353	442	53.378	406
53.403	448	53.429	393
53.454	456	53.480	384
53.504	465	53.530	380
53.556	474	53.581	380
53.606	484	53.631	386
53.657	494	53.683	396
53.707	503	53.733	409
53.758	511	53.784	427
53.809	517	53.834	446
53.860	522	53.885	468
53.910	524	53.936	489
53.961	524	53.987	509
54.011	521	54.037	528
54.063	518	54.088	544
54.113	512	54.138	555
54.164	505	54.190	564
54.214	496	54.240	566
54.265	488	54.291	564
54.315	479	54.341	558
54.367	471	54.392	547
54.417	463	54.442	532
54.468	456	54.494	514
54.518	452	54.544	493
54.569	448	54.595	472
54.620	447	54.645	451
54.671	447	54.696	431
54.721	450	54.747	413
54.772	453	54.798	398
54.822	458	54.848	387
54.874	465	54.899	381
54.924	472	54.949	379
54.975	479	55.001	382
55.025	487	55.051	390
55.076	494	55.102	403
55.126	500	55.152	418
55.178	506	55.203	437
55.228	510	55.253	458
55.279	512	55.305	479
55.329	513	55.355	500
55.380	513	55.406	519
55.431	511	55.456	537
55.482	507	55.507	550
55.532	503	55.558	560
55.583	497	55.609	565
55.633	491	55.659	566
55.685	484	55.710	561
55.735	479	55.760	552
55.786	473	55.812	539
55.836	468	55.862	522
55.887	463	55.913	503
55.937	460	55.963	482
55.989	458	56.014	460
56.039	457	56.064	440
56.090	457	56.116	421
56.140	459	56.166	405
56.191	463	56.217	392
56.242	466	56.267	383
56.293	471	56.318	380
56.343	476	56.369	380
56.394	481	56.420	386
56.444	486	56.470	397
56.496	491	56.521	411
56.546	495	56.571	429
56.597	499	56.623	448
56.647	501	56.673	469
56.698	503	56.724	490
56.748	503	56.774	511
56.800	503	56.825	529
56.851	501	56.875	544
56.901	499	56.927	555
56.952	495	56.977	563
57.002	492	57.028	565
57.054	488	57.078	563
