#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
44.735	454	44.760	467
44.786	447	44.811	465
44.836	442	44.862	464
44.887	440	44.913	462
44.937	441	44.963	459
44.989	445	45.014	458
45.039	450	45.064	457
45.090	458	45.115	456
45.140	468	45.166	456
45.191	479	45.217	456
45.241	490	45.267	456
45.293	501	45.318	457
45.343	512	45.368	458
45.394	522	45.420	459
45.444	530	45.470	462
45.495	535	45.521	463
45.546	539	45.571	465
45.597	540	45.622	467
45.647	539	45.673	469
45.698	535	45.724	471
45.748	528	45.774	473
45.800	520	45.825	474
45.850	511	45.875	474
45.901	499	45.926	473
45.951	489	45.977	474
46.002	477	46.028	473
46.052	468	46.078	471
46.104	458	46.129	468
46.154	451	46.179	467
46.205	446	46.231	465
46.255	443	46.281	462
46.306	443	46.332	460
46.357	445	46.382	458
46.408	450	46.433	456
46.458	457	46.484	455
46.509	465	46.535	454
46.559	475	46.585	453
46.611	485	46.636	454
46.661	495	46.686	454
46.712	506	46.738	455
46.762	516	46.788	458
46.813	525	46.839	459
46.863	531	46.889	462
46.915	536	46.940	464
46.965	537	46.990	467
47.016	537	47.042	469
47.066	534	47.092	471
47.117	529	47.143	473
47.168	522	47.193	475
47.219	514	47.244	476
47.269	504	47.295	476
47.320	493	47.346	475
47.370	483	47.396	475
47.422	473	47.447	473
47.472	464	47.497	471
47.523	456	47.549	469
47.573	450	47.599	465
47.624	447	47.650	464
47.674	445	47.700	461
47.726	446	47.751	458
47.776	450	47.801	456
47.827	455	47.853	454
47.877	462	47.903	453
47.928	471	47.954	452
47.979	481	48.004	451
48.030	491	48.055	452
48.080	501	48.106	453
48.131	511	48.157	455
48.181	519	48.207	457
48.233	527	48.258	460
48.283	531	48.308	463
48.334	534	48.360	466
48.384	535	48.410	469
48.435	533	48.461	471
48.485	529	48.511	474
48.537	524	48.562	476
48.587	516	48.612	477
48.638	507	48.664	477
48.688	497	48.714	477
48.739	487	48.765	477
48.791	477	48.815	475
48.841	468	48.866	473
48.892	461	48.917	470
48.942	454	48.968	468
48.993	450	49.018	465
49.044	448	49.069	462
49.095	448	49.119	459
49.145	450	49.171	456
49.196	455	49.221	454
49.246	461	49.272	452
49.298	468	49.322	450
49.348	478	49.373	450
49.399	487	49.423	451
49.449	496	49.475	452
49.500	506	49.525	453
49.550	514	49.576	455
49.602	522	49.626	458
49.652	527	49.677	462
49.703	531	49.728	465
49.753	532	49.779	467
49.804	532	49.829	471
49.855	529	49.880	473
49.906	524	49.930	476
49.956	518	49.982	477
50.007	509	50.032	478
50.057	501	50.083	478
50.109	492	50.133	478
50.159	482	50.184	477
50.210	473	50.234	475
50.260	465	50.286	473
50.311	459	50.336	469
50.361	454	50.387	467
50.413	451	50.437	463
50.463	450	50.488	460
50.514	452	50.539	457
50.564	455	50.590	454
50.615	460	50.640	451
50.666	466	50.691	451
50.717	475	50.741	449
50.767	484	50.793	450
50.818	492	50.843	450
50.868	501	50.894	452
50.920	509	50.944	454
50.970	517	50.995	457
51.021	523	51.045	460
51.071	527	51.097	463
51.122	529	51.147	467
51.172	529	51.198	470
51.224	528	51.248	473
51.274	524	51.299	476
51.325	518	51.350	478
51.375	512	51.401	479
51.426	504	51.451	480
51.477	495	51.502	479
51.528	486	51.552	478
51.578	478	51.604	477
51.629	471	51.654	475
51.679	464	51.705	471
51.731	459	51.755	468
51.781	455	51.806	465
51.832	453	51.856	461
51.882	454	51.908	458
51.933	456	51.959	454
51.983	460	52.009	452
52.035	466	52.060	450
52.085	473	52.110	449
52.136	480	52.162	449
52.186	488	52.212	449
52.237	497	52.263	450
52.288	505	52.313	452
52.339	512	52.364	455
52.389	518	52.415	458
52.440	522	52.466	462
52.490	525	52.516	465
52.542	526	52.567	469
52.592	526	52.617	473
52.643	522	52.669	475
52.693	519	52.719	478
52.744	513	52.770	480
52.794	506	52.820	480
52.846	498	52.871	480
52.896	490	52.921	480
52.947	482	52.973	478
52.997	474	53.023	476
53.048	468	53.074	473
53.099	462	53.124	470
53.150	459	53.175	466
53.200	457	53.226	463
53.251	457	53.277	459
53.301	458	53.327	456
53.353	461	53.378	453
53.403	465	53.428	450
53.454	471	53.480	449
53.504	478	53.530	448
53.555	485	53.581	448
53.605	492	53.631	449
53.657	501	53.682	451
53.707	507	53.732	453
53.758	513	53.784	457
53.808	518	53.834	459
53.859	522	53.885	464
53.910	523	53.935	467
53.961	523	53.986	471
54.011	522	54.037	474
54.062	518	54.088	477
54.112	513	54.138	479
54.164	507	54.189	481
54.214	500	54.239	480
54.265	493	54.291	480
54.315	486	54.341	479
54.366	479	54.392	477
54.416	472	54.442	474
54.468	467	54.493	471
54.518	463	54.543	468
54.569	460	54.595	464
54.619	459	54.645	460
54.670	460	54.696	457
54.721	461	54.746	454
54.772	465	54.797	451
54.822	470	54.848	449
54.873	476	54.899	448
54.923	483	54.949	448
54.975	489	55.000	449
55.025	497	55.050	450
55.076	503	55.102	452
55.126	509	55.152	455
55.177	514	55.203	459
55.227	518	55.253	462
55.279	520	55.304	465
55.329	521	55.354	470
55.380	519	55.406	473
55.430	517	55.456	476
55.481	513	55.507	479
55.532	508	55.557	480
55.583	503	55.608	481
55.634	495	55.659	481
55.684	489	55.710	480
55.735	483	55.760	478
55.786	477	55.811	476
55.837	471	55.861	473
55.887	467	55.913	469
55.938	464	55.963	466
55.988	462	56.014	462
56.040	462	56.064	459
56.090	463	56.115	454
56.141	466	56.165	453
56.191	470	56.217	450
56.242	475	56.267	449
56.292	480	56.318	448
56.344	487	56.368	448
56.394	493	56.419	449
56.445	499	56.470	451
56.495	505	56.521	454
56.546	510	56.571	457
56.597	513	56.622	461
56.648	516	56.672	464
56.698	517	56.724	468
56.749	517	56.774	472
